law,label,work_rule_ja,explanation_ja,price
"（時間外労働・深夜労働の割増賃金）
1 労働者が法定労働時間を超えて労働した場合、使用者は当該時間外労働に対し、通常の労働時間に対する賃金（以下「通常賃金」という。）の25％以上の率で計算した割増賃金を支払わなければならない。なお、1か月について時間外労働が60時間を超える部分については、50％以上の率による割増賃金を支払わなければならない。
2 労働者が法定休日（労働基準法第35条に定める毎週少なくとも1回の休日をいう。）に労働した場合、使用者は当該休日労働に対し、通常賃金の35％以上の率で計算した割増賃金を支払わなければならない。
3 労働者が深夜（22時から翌5時まで）に労働した場合、使用者は当該深夜労働に対し、通常賃金の25％以上の率で計算した割増賃金を支払わなければならない。
4 前各項の割増は併せて支払うものとする。すなわち、深夜における時間外労働については第1項の割増に第3項の割増を加算し、深夜における法定休日労働については第2項の割増に第3項の割増を加算する（例：時間外かつ深夜＝25％＋25％＝50％、1か月60時間超の時間外かつ深夜＝50％＋25％＝75％、法定休日かつ深夜＝35％＋25％＝60％）。
5 割増賃金の算定に用いる通常賃金は、労働基準法及び関係法令に定めるところにより算定する。",Contradictory,当社は、時間外労働、法定休日労働および深夜労働について割増賃金を支払わないものとする。従って、法定労働時間を超える労働についても通常賃金を超える率での支払いは行わない。,労働基準法は時間外・休日・深夜労働に対して一定以上の割増賃金の支払いを使用者に義務付けている（例：時間外25％以上、深夜25％以上等）。本就業規則は割増賃金の支払いを否定しており、法の義務と直接矛盾するため「Contradictory」に該当する。,0.000993
"（時間外労働・深夜労働の割増賃金）
1 労働者が法定労働時間を超えて労働した場合、使用者は当該時間外労働に対し、通常の労働時間に対する賃金（以下「通常賃金」という。）の25％以上の率で計算した割増賃金を支払わなければならない。なお、1か月について時間外労働が60時間を超える部分については、50％以上の率による割増賃金を支払わなければならない。
2 労働者が法定休日（労働基準法第35条に定める毎週少なくとも1回の休日をいう。）に労働した場合、使用者は当該休日労働に対し、通常賃金の35％以上の率で計算した割増賃金を支払わなければならない。
3 労働者が深夜（22時から翌5時まで）に労働した場合、使用者は当該深夜労働に対し、通常賃金の25％以上の率で計算した割増賃金を支払わなければならない。
4 前各項の割増は併せて支払うものとする。すなわち、深夜における時間外労働については第1項の割増に第3項の割増を加算し、深夜における法定休日労働については第2項の割増に第3項の割増を加算する（例：時間外かつ深夜＝25％＋25％＝50％、1か月60時間超の時間外かつ深夜＝50％＋25％＝75％、法定休日かつ深夜＝35％＋25％＝60％）。
5 割増賃金の算定に用いる通常賃金は、労働基準法及び関係法令に定めるところにより算定する。",Exemplification,従業員が法定休日の深夜（22時～翌5時）に勤務した場合、当該労働については通常賃金に対し35％および深夜割増25％を併せて計算し、合計60％以上の割増賃金を支払うものとする。,本規則は、法の第2項（法定休日労働は35％以上）と第3項（深夜労働は25％以上）を具体的に組み合わせた事例を示している。法第4項に基づき割増を併せて支払う旨を適用し、法の範囲内で具体的な率（35％＋25％＝60％）を明示しているため、Exemplificationに該当する。,0.0010244999999999998
"（時間外労働・深夜労働の割増賃金）
1 労働者が法定労働時間を超えて労働した場合、使用者は当該時間外労働に対し、通常の労働時間に対する賃金（以下「通常賃金」という。）の25％以上の率で計算した割増賃金を支払わなければならない。なお、1か月について時間外労働が60時間を超える部分については、50％以上の率による割増賃金を支払わなければならない。
2 労働者が法定休日（労働基準法第35条に定める毎週少なくとも1回の休日をいう。）に労働した場合、使用者は当該休日労働に対し、通常賃金の35％以上の率で計算した割増賃金を支払わなければならない。
3 労働者が深夜（22時から翌5時まで）に労働した場合、使用者は当該深夜労働に対し、通常賃金の25％以上の率で計算した割増賃金を支払わなければならない。
4 前各項の割増は併せて支払うものとする。すなわち、深夜における時間外労働については第1項の割増に第3項の割増を加算し、深夜における法定休日労働については第2項の割増に第3項の割増を加算する（例：時間外かつ深夜＝25％＋25％＝50％、1か月60時間超の時間外かつ深夜＝50％＋25％＝75％、法定休日かつ深夜＝35％＋25％＝60％）。
5 割増賃金の算定に用いる通常賃金は、労働基準法及び関係法令に定めるところにより算定する。",Neutral – Insufficient,従業員は時間外・休日・深夜に勤務した場合、会社の定める基準に従い割増賃金を受けるものとする。,この就業規則は法文の対象（時間外・法定休日・深夜労働）に言及しているため関連はあるが、割増率や60時間超の扱いなど具体的な算定方法・率を示しておらず、法の要件と整合するかどうかを判断できないため「Neutral – Insufficient」に該当します。,0.0007750000000000001
"（時間外労働・深夜労働の割増賃金）
1 労働者が法定労働時間を超えて労働した場合、使用者は当該時間外労働に対し、通常の労働時間に対する賃金（以下「通常賃金」という。）の25％以上の率で計算した割増賃金を支払わなければならない。なお、1か月について時間外労働が60時間を超える部分については、50％以上の率による割増賃金を支払わなければならない。
2 労働者が法定休日（労働基準法第35条に定める毎週少なくとも1回の休日をいう。）に労働した場合、使用者は当該休日労働に対し、通常賃金の35％以上の率で計算した割増賃金を支払わなければならない。
3 労働者が深夜（22時から翌5時まで）に労働した場合、使用者は当該深夜労働に対し、通常賃金の25％以上の率で計算した割増賃金を支払わなければならない。
4 前各項の割増は併せて支払うものとする。すなわち、深夜における時間外労働については第1項の割増に第3項の割増を加算し、深夜における法定休日労働については第2項の割増に第3項の割増を加算する（例：時間外かつ深夜＝25％＋25％＝50％、1か月60時間超の時間外かつ深夜＝50％＋25％＝75％、法定休日かつ深夜＝35％＋25％＝60％）。
5 割増賃金の算定に用いる通常賃金は、労働基準法及び関係法令に定めるところにより算定する。",Subaltern,当社は、管理監督者を含む全従業員が法定労働時間を超えて労働した場合、法令に定める割増率（時間外は通常賃金の25％以上、1か月の時間外が60時間を超える部分は50％以上、法定休日は35％以上、深夜（22時〜5時）は25％以上）を適用して割増賃金を支払うものとする。また、前各割増は併用して算定する。,本規則は、法律が定める割増賃金の率・併合計算（時間外、60時間超、法定休日、深夜）をそのまま採用しつつ、適用対象を法律上対象外となることのある管理監督者まで拡大しています。したがって、法律の内容を拡張して適用範囲を広げる「Subaltern（下位拡張）」に該当します。,0.0016165
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Exemplification,営業事務職（事務・業務職等）の試用期間は、原則として3か月とする。,本条は試用期間の上限を職務別に定めており、本規則は「中程度の専門的・技術的能力、技能工、事務・業務職等：3か月以内」という法文の具体例として、営業事務職に対して試用期間を3か月と明示しているため、Exemplification（具体例提示）に該当します。,0.00079175
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Weak Entailment,従業員の採用に際しては、会社と従業員の合意に基づき職務の性質に応じた試用期間を定めるものとし、その期間は合理的な範囲内で設定する。,本規則は、試用期間を会社と労働者の合意で職務の性質に応じて定めるべきこと、および期間は過度に長くならないよう配慮すべきことを一般的に示しており、提示された法律の具体的上限規定（6か月、3か月、7労働日など）や詳細な手続を含めない点でより一般化されている。したがって、法律と矛盾せず、弱い含意（Weak Entailment）に該当する。,0.00106825
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Contradictory,同一の職務については複数回にわたり試用期間を設定することができ、試用期間の長さに上限はなく、会社は必要と判断すれば何度でも延長できるものとする。,本就業規則は、同一職務の試用を1回に限るとし試用期間の上限を定める法の規定（提示された法文）に対して、同一職務で何度でも試用を設定でき上限を撤廃すると直接否定しており、法規と両立しないため矛盾（Contradictory）に当たります。,0.00098225
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Contrary,第○条（試用期間の上限） 本規則における試用期間の上限は、職務の性質の如何にかかわらず一律1か月とする。,原法は職務の専門性に応じて試用期間の上限を6か月・3か月・7労働日と区分しているのに対し、本就業規則は全ての職務を一律に短く制限しており、程度（上限期間）に関して法の定めと矛盾するため「Contrary（対立）」に該当します。これは法を直接否定するものではないが、法の区分・許容範囲と異なる厳しい条件を課しています。,0.0008995000000000001
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Neutral – Irrelevant,従業員は出社時に会社指定の制服を着用し、勤務時間中は常に清潔な身だしなみを保持しなければならない。,本規則は就業時の服装・身だしなみに関するものであり、試用期間の設定、期間上限、解約・解雇手続きや試用評価に関する法律の規定とは主題が異なるため、論理的・法律的に無関係である。,0.0006565
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Subaltern,全従業員の試用期間の上限は、職務の区分にかかわらず原則として3か月とし、やむを得ない事情がある場合に限り、上記規定に基づき最大6か月まで延長できるものとする。,就業規則は、法律の定める職務別の上限（6か月・3か月・7労働日）を尊重しつつ、全従業員に一律の通常上限（3か月）を課しているため、法律の適用範囲を拡大・具体化している。これは法律に矛盾せず、より厳格な社内基準を設けるものであり、Subaltern（下位適用）に該当する。,0.00104975
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Neutral – Insufficient,会社は試用期間の運用について適切な手続を設け、必要に応じて労働者に説明するものとする。,この就業規則は試用期間の運用手続や説明を要求しており、法律の試用期間設定や満了・取扱いの趣旨に関連するが、試用期間の具体的な期間、延長条件、解約手続等の詳細が記載されていないため、法律との関係は明確だが十分な情報を提供しておらず「Neutral – Insufficient」に該当する。,0.00095225
"（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",Strong Entailment,試用期間は職務の性質および複雑性に応じて会社と労働者が合意の上で定め、同一職務に対する試用は1回に限る。試用期間の上限は、(1) 大学・大学院相当の高度な専門的・技術的職務は6か月以内、(2) 短大・専門学校相当の中程度の専門的・技術的職務、技能工、事務・業務職等は3か月以内、(3) その他の補助的・単純業務は7労働日以内とする。会社は必要性・相当性を考慮し過度に長期とならないよう配慮する。試用の結果適格と認められれば試用満了をもって本採用とし、試用中は各当事者が労働契約の解約を行うことができるが、使用者による解約（解雇）は客観的に合理的な理由を欠き社会通念上相当でない場合には無効とする。使用者は解約に際して原則として少なくとも30日前の予告または平均賃金30日分以上の解雇予告手当を支払うものとし、採用日から14日以内の期間については解雇予告の適用を除外する。会社は試用期間の設定・延長および本採用の判定に関する評価基準・方法を明確にし労働者に周知し、延長はやむを得ない事由がある場合を除き行わず、行う場合でも上記の上限を超えないものとする。,作成した就業規則は、試用期間の設定・回数制限・職務別の上限期間・過度に長期とならない配慮・試用満了時の本採用・試用中の解約の可否と使用者解約の無効要件・解雇予告および例外・評価基準の周知・延長の制限と上限超過禁止等、提示された法文の各項目を意味を変えずに再表現しており、法律の内容をそのまま規則化しているため「Strong Entailment」に該当します。,0.0016722500000000001
"第○条（賃金の全額支給・支払期日等）
1　使用者は、賃金を通貨で、労働者本人に直接、全額を支払うものとし、毎月1回以上、一定の期日を定めて支払う。
2　前項にかかわらず、労働者がやむを得ない事由により直接受領できない場合には、労働者の法定代理人または適法な委任状により指定された受任者に支払うことができる。
3　使用者は、賃金の支給後における労働者の賃金の使途につき、これを制限し、または干渉してはならない。使用者は、自己または使用者が指定する事業者の物品の購入その他の役務の利用を、労働者に対して強制してはならない。
4　使用者は、法令に基づく源泉徴収、社会保険料の控除、または労使協定に基づく控除（組合費のチェックオフ等）を除き、賃金からの控除をしてはならない。
5　賃金の支払は、労働者の同意がある場合には、あらかじめ労働者が指定した銀行口座への振込により行うことができる。この場合においても、賃金の全額払原則に反してはならない。
6　天災その他の不可抗力により、使用者が相当の手段を尽くしても支払期日に賃金を支払うことができないときは、遅滞のやむなき限度で支払期日を繰り延べることができる。この場合、使用者は、速やかに労働者に事実及び新たな支払予定日を通知し、可能なかぎり速やかに支払を行わなければならない。
7　前項の結果として賃金の支払が遅延したときは、使用者は、労働基準法第114条および民法の定めるところにより、支払期日の翌日から支払済みに至るまでの遅延利息（支払期日の翌日から3か月を経過する日まで年3％、同日後は年14.6％）に相当する金員を付加して支払わなければならない。",Weak Entailment,使用者は、労働基準法その他の関係法令に従い、賃金を適正に支払わなければならない。,原法は賃金の全額支給・支払期日・支払方法など具体的な要件を定めているが、本就業規則条項はそれらを直接列挙せず、関係法令に従って賃金を適正に支払うというより一般的な義務を示している。したがって、法の具体規定を包括するより広い表現であり、弱帰結（Weak Entailment）に該当する。,0.00097775
"第○条（賃金の全額支給・支払期日等）
1　使用者は、賃金を通貨で、労働者本人に直接、全額を支払うものとし、毎月1回以上、一定の期日を定めて支払う。
2　前項にかかわらず、労働者がやむを得ない事由により直接受領できない場合には、労働者の法定代理人または適法な委任状により指定された受任者に支払うことができる。
3　使用者は、賃金の支給後における労働者の賃金の使途につき、これを制限し、または干渉してはならない。使用者は、自己または使用者が指定する事業者の物品の購入その他の役務の利用を、労働者に対して強制してはならない。
4　使用者は、法令に基づく源泉徴収、社会保険料の控除、または労使協定に基づく控除（組合費のチェックオフ等）を除き、賃金からの控除をしてはならない。
5　賃金の支払は、労働者の同意がある場合には、あらかじめ労働者が指定した銀行口座への振込により行うことができる。この場合においても、賃金の全額払原則に反してはならない。
6　天災その他の不可抗力により、使用者が相当の手段を尽くしても支払期日に賃金を支払うことができないときは、遅滞のやむなき限度で支払期日を繰り延べることができる。この場合、使用者は、速やかに労働者に事実及び新たな支払予定日を通知し、可能なかぎり速やかに支払を行わなければならない。
7　前項の結果として賃金の支払が遅延したときは、使用者は、労働基準法第114条および民法の定めるところにより、支払期日の翌日から支払済みに至るまでの遅延利息（支払期日の翌日から3か月を経過する日まで年3％、同日後は年14.6％）に相当する金員を付加して支払わなければならない。",Exemplification,賃金は毎月25日を支払期日とし、労働者が事前に指定した銀行口座へ全額を振込により支払うものとする。,法の規定は賃金を毎月1回以上、労働者本人に全額支払うことや口座振込を認めることを定めている。本規則はその具体例として、支払期日を毎月25日と定め、振込で全額支払う旨を明示しているため「例示（Exemplification）」に該当する。,0.00094525
"第○条（賃金の全額支給・支払期日等）
1　使用者は、賃金を通貨で、労働者本人に直接、全額を支払うものとし、毎月1回以上、一定の期日を定めて支払う。
2　前項にかかわらず、労働者がやむを得ない事由により直接受領できない場合には、労働者の法定代理人または適法な委任状により指定された受任者に支払うことができる。
3　使用者は、賃金の支給後における労働者の賃金の使途につき、これを制限し、または干渉してはならない。使用者は、自己または使用者が指定する事業者の物品の購入その他の役務の利用を、労働者に対して強制してはならない。
4　使用者は、法令に基づく源泉徴収、社会保険料の控除、または労使協定に基づく控除（組合費のチェックオフ等）を除き、賃金からの控除をしてはならない。
5　賃金の支払は、労働者の同意がある場合には、あらかじめ労働者が指定した銀行口座への振込により行うことができる。この場合においても、賃金の全額払原則に反してはならない。
6　天災その他の不可抗力により、使用者が相当の手段を尽くしても支払期日に賃金を支払うことができないときは、遅滞のやむなき限度で支払期日を繰り延べることができる。この場合、使用者は、速やかに労働者に事実及び新たな支払予定日を通知し、可能なかぎり速やかに支払を行わなければならない。
7　前項の結果として賃金の支払が遅延したときは、使用者は、労働基準法第114条および民法の定めるところにより、支払期日の翌日から支払済みに至るまでの遅延利息（支払期日の翌日から3か月を経過する日まで年3％、同日後は年14.6％）に相当する金員を付加して支払わなければならない。",Contradictory,使用者は従業員に対して賃金の全部または一部を現金以外の方法（会社発行の商品券、社内ポイント、物品引換券等）で支払うことができ、また従業員の同意を得ることなく必要と判断した金額を賃金から控除することができる。,この就業規則は、賃金を通貨で労働者本人に直接全額支払うことや、原則として賃金からの控除を制限するという法の規定と正面から矛盾しています。法は現金全額直接払いと控除制限を定めているため、本規則は法と両立し得ません。,0.00101975
"第○条（賃金の全額支給・支払期日等）
1　使用者は、賃金を通貨で、労働者本人に直接、全額を支払うものとし、毎月1回以上、一定の期日を定めて支払う。
2　前項にかかわらず、労働者がやむを得ない事由により直接受領できない場合には、労働者の法定代理人または適法な委任状により指定された受任者に支払うことができる。
3　使用者は、賃金の支給後における労働者の賃金の使途につき、これを制限し、または干渉してはならない。使用者は、自己または使用者が指定する事業者の物品の購入その他の役務の利用を、労働者に対して強制してはならない。
4　使用者は、法令に基づく源泉徴収、社会保険料の控除、または労使協定に基づく控除（組合費のチェックオフ等）を除き、賃金からの控除をしてはならない。
5　賃金の支払は、労働者の同意がある場合には、あらかじめ労働者が指定した銀行口座への振込により行うことができる。この場合においても、賃金の全額払原則に反してはならない。
6　天災その他の不可抗力により、使用者が相当の手段を尽くしても支払期日に賃金を支払うことができないときは、遅滞のやむなき限度で支払期日を繰り延べることができる。この場合、使用者は、速やかに労働者に事実及び新たな支払予定日を通知し、可能なかぎり速やかに支払を行わなければならない。
7　前項の結果として賃金の支払が遅延したときは、使用者は、労働基準法第114条および民法の定めるところにより、支払期日の翌日から支払済みに至るまでの遅延利息（支払期日の翌日から3か月を経過する日まで年3％、同日後は年14.6％）に相当する金員を付加して支払わなければならない。",Strong Entailment,使用者は、賃金を通貨で労働者本人に直接全額で支払い、毎月1回以上かつあらかじめ定めた期日に支払うものとする。労働者がやむを得ない事由により直接受領できないときは、法定代理人または適法な委任状で指定された受任者に支払うことができる。使用者は賃金支給後の賃金の使途を制限・干渉してはならず、自己または指定事業者の物品購入等を強制してはならない。法令に基づく源泉徴収、社会保険料、または労使協定に基づく控除を除き、賃金からの控除をしてはならない。労働者の同意がある場合は、あらかじめ指定した銀行口座への振込により支払うことができ、この場合も賃金の全額払原則に反してはならない。天災等の不可抗力で支払期日に支払えないときは、使用者は相当の手段を尽くした上で遅滞のやむなき限度で支払期日を繰り延べ、速やかに事実と新たな支払予定日を労働者に通知して可能なかぎり速やかに支払わなければならない。支払の遅延が生じた場合、使用者は遅延利息（支払期日の翌日から3か月までは年3%、その後は年14.6%）を付加して支払うものとする。,就業規則の文言は、法律条文の各項目（支払方法・支払期日・代理受領の例外・賃金使途の制限禁止・控除の制限・振込の可否・不可抗力時の繰延と通知義務・遅延利息の率）をほぼ同一の意味で再表現しており、法律と同義（言い換え）となっているため「Strong Entailment」に該当します。,0.00156975
